Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,42.83333333,12,20,0.6,0,2,0,1,3,0.333,2,4,6,9,4,0,2,3,25,24.7
0,40.35,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,1,21,14.7
0,39.16666667,3,12,0.25,0,1,0,2,2,1,0,4,4,6,2,0,2,3,8,5
0,41.1,3,11,0.273,0,2,0,1,1,1,2,9,11,7,2,3,2,1,7,11.2
0,43.73333333,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,2,23,9
1,44.5,8,19,0.421,0,0,,1,4,0.25,5,3,8,9,1,1,2,1,17,15.7
1,33.65,7,12,0.583,3,3,1,0,0,,1,4,5,4,1,1,2,0,17,15.8
0,42.66666667,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,3,18,12.8
0,35.6,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,10,0.8
1,46.95,10,19,0.526,0,1,0,2,4,0.5,0,5,5,8,1,2,5,2,22,15.6
1,39.41666667,6,16,0.375,0,2,0,2,4,0.5,2,5,7,8,0,1,3,2,14,9.8
0,39.15,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,28,25
0,35.3,8,19,0.421,0,2,0,3,3,1,2,7,9,2,1,0,1,4,19,12.2
0,42.3,3,16,0.188,0,1,0,9,10,0.9,2,4,6,4,2,1,3,1,15,9.3
0,38.8,5,17,0.294,1,4,0.25,4,4,1,2,6,8,9,0,0,4,1,15,10.2
0,36.45,2,8,0.25,0,2,0,2,3,0.667,0,2,2,7,0,0,4,3,6,1.1
0,54.68333333,14,28,0.5,3,6,0.5,2,3,0.667,2,14,16,7,1,1,8,1,33,22.4
0,32.51666667,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,4,19,12.2
0,34.08333333,2,13,0.154,0,3,0,0,0,,4,2,6,8,2,0,5,2,4,0.9
1,36.06666667,4,12,0.333,0,2,0,0,0,,1,5,6,5,2,1,3,2,8,5.8
0,37.05,7,16,0.438,0,0,,4,4,1,0,5,5,3,1,0,2,2,18,11.4
1,42.76666667,8,21,0.381,1,3,0.333,6,8,0.75,1,2,3,9,1,1,4,3,23,14.8
0,45.41666667,10,20,0.5,1,5,0.2,16,18,0.889,1,2,3,4,0,0,2,2,37,27.5
0,43.66666667,10,16,0.625,0,3,0,7,8,0.875,1,3,4,6,3,3,6,1,27,23.9
0,36,7,19,0.368,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,2,17,5.7
1,41.68333333,14,24,0.583,5,7,0.714,3,3,1,1,3,4,5,4,0,4,1,36,29.5
1,41.73333333,11,22,0.5,0,5,0,10,12,0.833,1,5,6,10,2,2,4,2,32,28
1,39.16666667,7,22,0.318,1,6,0.167,7,8,0.875,2,4,6,2,6,1,5,1,22,14.3
0,47.1,13,28,0.464,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,0,34,19.1
0,34.33333333,7,24,0.292,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,0,18,5.1
1,39.08333333,15,23,0.652,0,2,0,2,2,1,3,7,10,9,3,0,5,1,32,30
0,38.11666667,9,20,0.45,0,4,0,4,6,0.667,2,8,10,4,0,0,4,2,22,12.6
0,36.06666667,6,19,0.316,0,4,0,2,4,0.5,1,3,4,9,1,0,3,2,14,7.4
1,41.41666667,6,17,0.353,0,2,0,2,2,1,0,4,4,10,1,1,4,1,14,10
0,38.23333333,10,23,0.435,0,3,0,1,2,0.5,0,2,2,5,0,0,2,3,21,9.4
0,42.21666667,7,19,0.368,0,3,0,5,7,0.714,0,3,3,6,3,0,5,1,19,10.4
0,36.43333333,6,20,0.3,0,3,0,4,5,0.8,1,4,5,7,1,1,6,3,16,5.3
1,43.9,11,26,0.423,0,1,0,5,6,0.833,4,5,9,9,2,0,4,2,27,20.6
0,43.41666667,8,21,0.381,2,5,0.4,11,13,0.846,2,4,6,6,3,0,2,0,29,24.5
1,44.41666667,12,28,0.429,2,4,0.5,3,5,0.6,1,6,7,2,2,1,4,2,29,15.2
1,29.96666667,7,19,0.368,1,2,0.5,1,2,0.5,0,5,5,3,0,2,3,4,16,5.5
1,44.4,10,25,0.4,0,1,0,7,10,0.7,0,5,5,4,2,1,1,1,27,17.9
0,37.28333333,7,25,0.28,1,6,0.167,5,8,0.625,2,6,8,3,1,0,5,5,20,3.4
1,43.4,14,27,0.519,1,2,0.5,9,11,0.818,3,3,6,4,0,2,6,4,38,23.5
1,38.18333333,5,19,0.263,0,1,0,2,2,1,1,3,4,6,2,0,1,2,12,6.7
0,43.08333333,12,26,0.462,4,4,1,4,5,0.8,0,4,4,4,0,0,0,0,32,22.2
0,44.58333333,6,18,0.333,1,3,0.333,1,4,0.25,1,8,9,5,0,0,3,2,14,5.4
0,34.06666667,6,16,0.375,0,0,,2,2,1,0,0,0,6,4,1,3,2,14,10.3
1,43.3,9,25,0.36,1,6,0.167,5,6,0.833,0,6,6,3,2,1,1,3,24,14.1
0,29.53333333,2,13,0.154,0,1,0,5,5,1,1,1,2,5,1,0,5,0,9,1.2
0,33.65,6,12,0.5,0,0,,4,4,1,2,2,4,9,0,1,5,2,16,13.2
1,39.61666667,14,23,0.609,0,0,,4,4,1,2,9,11,2,2,1,2,0,32,27.7
1,43.78333333,7,20,0.35,0,0,,8,12,0.667,1,4,5,3,1,0,1,2,22,12.4
1,36.6,7,16,0.438,1,5,0.2,6,6,1,0,4,4,6,2,5,1,3,21,21.3
0,38.63333333,5,18,0.278,0,2,0,1,3,0.333,2,5,7,5,2,1,2,1,11,6.3
1,49.21666667,11,19,0.579,1,1,1,7,8,0.875,1,10,11,3,3,1,5,1,30,24.8
0,40.8,7,17,0.412,0,2,0,4,6,0.667,0,3,3,3,4,1,3,2,18,12
1,27.6,9,17,0.529,1,2,0.5,5,6,0.833,1,6,7,3,1,1,1,0,24,20.6
1,37.78333333,7,17,0.412,2,2,1,3,4,0.75,2,4,6,4,2,0,4,5,19,10.9
1,42.7,11,24,0.458,0,3,0,2,3,0.667,2,5,7,10,4,1,2,3,24,22.6
1,45.1,11,23,0.478,1,4,0.25,11,13,0.846,2,4,6,7,1,0,2,1,34,27.6
1,33.76666667,4,13,0.308,0,0,,6,7,0.857,1,2,3,4,1,0,2,2,14,8.4
1,44.15,12,22,0.545,0,2,0,2,4,0.5,0,3,3,4,3,1,4,3,26,16.8
1,32.13333333,5,16,0.313,2,3,0.667,5,8,0.625,3,2,5,8,0,5,4,1,17,14
0,34.26666667,4,14,0.286,0,2,0,6,10,0.6,0,0,0,7,2,1,2,3,14,8.6
