Stat One, Stat Two, Stat Three, R2, RMSE
Result,,,-0.06958,6.90931
MP,,,0.33993,5.42781
FG,,,0.85668,2.52922
FGA,,,0.63249,4.05008
FG%,,,0.27860,5.67435
3P,,,-0.15737,7.18726
3PA,,,-0.29747,7.60985
3P%,,,-0.02560,6.76576
FT,,,-0.21541,7.36528
FTA,,,-0.21729,7.37096
FT%,,,-0.10665,7.02802
ORB,,,-0.06039,6.87956
DRB,,,-0.05223,6.85303
TRB,,,-0.04663,6.83477
AST,,,-0.06818,6.90479
STL,,,-0.01010,6.71444
BLK,,,-0.01852,6.74237
TOV,,,-0.05558,6.86393
PF,,,-0.05096,6.84890
GmSc,,,0.74728,3.35852
Result,MP,,0.29292,5.61775
Result,FG,,0.85839,2.51409
Result,FGA,,0.61689,4.13514
Result,FG%,,0.27968,5.67010
Result,3P,,-0.18049,7.25870
Result,3PA,,-0.34612,7.75121
Result,3P%,,-0.03417,6.79399
Result,FT,,-0.21174,7.35415
Result,FTA,,-0.21451,7.36255
Result,FT%,,-0.10916,7.03598
Result,ORB,,-0.06854,6.90596
Result,DRB,,-0.06763,6.90302
Result,TRB,,-0.06455,6.89304
Result,AST,,-0.08202,6.94938
Result,STL,,-0.02564,6.76588
Result,BLK,,-0.03382,6.79284
Result,TOV,,-0.06713,6.90138
Result,PF,,-0.05926,6.87588
Result,GmSc,,0.76197,3.25945
MP,FG,,0.85925,2.50645
MP,FGA,,0.63666,4.02700
MP,FG%,,0.67447,3.81176
MP,3P,,0.43148,5.03733
MP,3PA,,0.28892,5.63362
MP,3P%,,0.45234,4.94405
MP,FT,,0.07843,6.41346
MP,FTA,,0.08972,6.37404
MP,FT%,,0.29371,5.61459
MP,ORB,,0.32001,5.50910
MP,DRB,,0.34601,5.40271
MP,TRB,,0.34474,5.40798
MP,AST,,0.35022,5.38531
MP,STL,,0.33317,5.45549
MP,BLK,,0.34620,5.40194
MP,TOV,,0.34105,5.42318
MP,PF,,0.33020,5.46765
MP,GmSc,,0.79573,3.01950
FG,FGA,,0.85400,2.55270
FG,FG%,,0.85347,2.55732
FG,3P,,0.83736,2.69428
FG,3PA,,0.79697,3.01030
FG,3P%,,0.87090,2.40041
FG,FT,,0.93212,1.74059
FG,FTA,,0.90363,2.07393
FG,FT%,,0.88243,2.29073
FG,ORB,,0.86000,2.49971
FG,DRB,,0.85035,2.58447
FG,TRB,,0.85200,2.57014
FG,AST,,0.85659,2.53001
